CodePays;Langue;Pourcentage
AFG;Pashto;52,4
NLD;Dutch;95,6
ANT;Papiamento;86,2
ALB;Albaniana;97,9
DZA;Arabic;86
ASM;Samoan;90,6
AND;Spanish;44,6
AGO;Ovimbundu;37,2
AIA;English;0
ATG;Creole English;95,7
ARE;Arabic;42
ARG;Spanish;96,8
ARM;Armenian;93,4
ABW;Papiamento;76,7
AUS;English;81,2
AZE;Azerbaijani;89
BHS;Creole English;89,7
BHR;Arabic;67,7
BGD;Bengali;97,7
BRB;Bajan;95,1
BEL;Dutch;59,2
BLZ;English;50,8
BEN;Fon;39,8
BMU;English;100
BTN;Dzongkha;50
BOL;Spanish;87,7
BIH;Serbo-Croatian;99,2
BWA;Tswana;75,5
BRA;Portuguese;97,5
GBR;English;97,3
VGB;English;0
BRN;Malay;45,5
BGR;Bulgariana;83,2
BFA;Mossi;50,2
BDI;Kirundi;98,1
CYM;English;0
CHL;Spanish;89,7
COK;Maori;0
CRI;Spanish;97,5
DJI;Somali;43,9
DMA;Creole English;100
DOM;Spanish;98
ECU;Spanish;93
EGY;Arabic;98,8
SLV;Spanish;100
ERI;Tigrinja;49,1
ESP;Spanish;74,4
ZAF;Zulu;22,7
ETH;Oromo;31
FLK;English;0
FJI;Fijian;50,8
PHL;Pilipino;29,3
FRO;Faroese;100
GAB;Fang;35,8
GMB;Malinke;34,1
GEO;Georgiana;71,7
GHA;Akan;52,4
GIB;English;88,9
GRD;Creole English;100
GRL;Greenlandic;87,5
GLP;Creole French;95
GUM;English;37,5
GTM;Spanish;64,7
GIN;Ful;38,6
GNB;Crioulo;36,4
GUY;Creole English;96,4
HTI;Haiti Creole;100
HND;Spanish;97,2
HKG;Canton Chinese;88,7
SJM;Norwegian;0
IDN;Javanese;39,4
IND;Hindi;39,9
IRQ;Arabic;77,2
IRN;Persian;45,7
IRL;English;98,4
ISL;Icelandic;95,7
ISR;Hebrew;63,1
ITA;Italian;94,1
TMP;Sunda;0
AUT;German;92
JAM;Creole English;94,2
JPN;Japanese;99,1
YEM;Arabic;99,6
JOR;Arabic;97,9
CXR;Chinese;0
YUG;Serbo-Croatian;75,2
KHM;Khmer;88,6
CMR;Fang;19,7
CAN;English;60,4
CPV;Crioulo;100
KAZ;Kazakh;46
KEN;Kikuyu;20,9
CAF;Gbaya;23,8
CHN;Chinese;92
KGZ;Kirgiz;59,7
KIR;Kiribati;98,9
COL;Spanish;99
COM;Comorian;75
COG;Kongo;51,5
COD;Luba;18
CCK;Malay;0
PRK;Korean;99,9
KOR;Korean;99,9
GRC;Greek;98,5
HRV;Serbo-Croatian;95,9
CUB;Spanish;100
KWT;Arabic;78,1
CYP;Greek;74,1
LAO;Lao;67,2
LVA;Latvian;55,1
LSO;Sotho;85
LBN;Arabic;93
LBR;Kpelle;19,5
LBY;Arabic;96
LIE;German;89
LTU;Lithuanian;81,6
LUX;Luxembourgish;64,4
ESH;Arabic;100
MAC;Canton Chinese;85,6
MDG;Malagasy;98,9
MKD;Macedonian;66,5
MWI;Chichewa;58,3
MDV;Dhivehi;100
MYS;Malay;58,4
MLI;Bambara;31,8
MLT;Maltese;95,8
MAR;Arabic;65
MHL;Marshallese;96,8
MTQ;Creole French;96,6
MRT;Hassaniya;81,7
MUS;Creole French;70,6
MYT;Mahoré;41,9
MEX;Spanish;92,1
FSM;Trukese;41,6
MDA;Romanian;61,9
MCO;French;41,9
MNG;Mongolian;78,8
MSR;English;0
MOZ;Makua;27,8
MMR;Burmese;69
NAM;Ovambo;50,7
NRU;Nauru;57,5
NPL;Nepali;50,4
NIC;Spanish;97,6
NER;Hausa;53,1
NGA;Joruba;21,4
NIU;Niue;0
NFK;English;0
NOR;Norwegian;96,6
CIV;Akan;30
OMN;Arabic;76,7
PAK;Punjabi;48,2
PLW;Palau;82,2
PAN;Spanish;76,8
PNG;Papuan Languages;78,1
PRY;Spanish;55,1
PER;Spanish;79,8
PCN;Pitcairnese;0
MNP;Philippene Languages;34,1
PRT;Portuguese;99
PRI;Spanish;51,3
POL;Polish;97,6
GNQ;Fang;84,8
QAT;Arabic;40,7
FRA;French;93,6
GUF;Creole French;94,3
PYF;Tahitian;46,4
REU;Creole French;91,5
ROM;Romanian;90,7
RWA;Rwanda;100
SWE;Swedish;89,5
SHN;English;0
KNA;Creole English;100
LCA;Creole French;80
VCT;Creole English;99,1
SPM;French;0
DEU;German;91,3
SLB;Malenasian Languages;85,6
ZMB;Bemba;29,7
WSM;Samoan-English;52
SMR;Italian;100
STP;Crioulo;86,3
SAU;Arabic;95
SEN;Wolof;48,1
SYC;Seselwa;91,3
SLE;Mende;34,8
SGP;Chinese;77,1
SVK;Slovak;85,6
SVN;Slovene;87,9
SOM;Somali;98,3
LKA;Singali;60,3
SDN;Arabic;49,4
FIN;Finnish;92,7
SUR;Sranantonga;81
SWZ;Swazi;89,9
CHE;German;63,6
SYR;Arabic;90
TJK;Tadzhik;62,2
TWN;Min;66,7
TZA;Nyamwesi;21,1
DNK;Danish;93,5
THA;Thai;52,6
TGO;Ewe;23,2
TKL;Tokelau;0
TON;Tongan;98,3
TTO;English;93,5
TCD;Sara;27,7
CZE;Czech;81,2
TUN;Arabic;69,9
TUR;Turkish;87,6
TKM;Turkmenian;76,7
TCA;English;0
TUV;Tuvalu;92,5
UGA;Ganda;18,1
UKR;Ukrainian;64,7
HUN;Hungarian;98,5
URY;Spanish;95,7
NCL;Malenasian Languages;45,4
NZL;English;87
UZB;Uzbek;72,6
BLR;Belorussian;65,6
WLF;Wallis;0
VUT;Bislama;56,6
VAT;Italian;0
VEN;Spanish;96,9
RUS;Russian;86,6
VNM;Vietnamese;86,8
EST;Estonian;65,3
USA;English;86,2
