Session;Numero d'etablissement;Type d'etablissement;Patronyme;Secteur d'enseignement;Commune;Libellé commune;Code département;Libellé département;Code académie;Libellé académie;Code région;Libellé région;Inscrits;Presents;Admis;Admis sans mention;Nombre_d_admis_Mention_AB;Admis Mention bien;Admis Mention très bien;Taux de réussite
2006;0541328A;COLLEGE;ERNEST BICHAT;PUBLIC;54329;LUNEVILLE;54;MEURTHE-ET-MOSELLE;12;NANCY-METZ;6;GRAND EST;164;160;134;62;37;25;10;83,70%
2007;0541328A;COLLEGE;ERNEST BICHAT;PUBLIC;54329;LUNEVILLE;54;MEURTHE-ET-MOSELLE;12;NANCY-METZ;6;GRAND EST;167;162;114;55;30;23;6;70,30%
2008;0541328A;COLLEGE;ERNEST BICHAT;PUBLIC;54329;LUNEVILLE;54;MEURTHE-ET-MOSELLE;12;NANCY-METZ;6;GRAND EST;154;143;113;48;34;22;9;79,00%
2009;0541328A;COLLEGE;ERNEST BICHAT;PUBLIC;54329;LUNEVILLE;54;MEURTHE-ET-MOSELLE;12;NANCY-METZ;6;GRAND EST;154;146;117;50;34;25;8;80,10%
2010;0541328A;COLLEGE;ERNEST BICHAT;PUBLIC;54329;LUNEVILLE;54;MEURTHE-ET-MOSELLE;12;NANCY-METZ;6;GRAND EST;163;155;105;40;36;20;9;67,70%
2011;0541328A;COLLEGE;ERNEST BICHAT;PUBLIC;54329;LUNEVILLE;54;MEURTHE-ET-MOSELLE;12;NANCY-METZ;6;GRAND EST;142;137;99;39;27;18;15;72,20%
2012;0541328A;COLLEGE;ERNEST BICHAT;PUBLIC;54329;LUNEVILLE;54;MEURTHE-ET-MOSELLE;12;NANCY-METZ;6;GRAND EST;136;135;99;43;27;13;16;73,30%
2013;0541328A;COLLEGE;ERNEST BICHAT;PUBLIC;54329;LUNEVILLE;54;MEURTHE-ET-MOSELLE;12;NANCY-METZ;6;GRAND EST;161;156;123;42;38;27;16;78,80%
2014;0541328A;COLLEGE;ERNEST BICHAT;PUBLIC;54329;LUNEVILLE;54;MEURTHE-ET-MOSELLE;12;NANCY-METZ;6;GRAND EST;142;139;113;36;35;26;16;81,20%
2015;0541328A;COLLEGE;ERNEST BICHAT;PUBLIC;54329;LUNEVILLE;54;MEURTHE-ET-MOSELLE;12;NANCY-METZ;6;GRAND EST;118;111;88;26;19;22;21;79,20%
2016;0541328A;COLLEGE;ERNEST BICHAT;PUBLIC;54329;LUNEVILLE;54;MEURTHE-ET-MOSELLE;12;NANCY-METZ;6;GRAND EST;151;144;105;43;20;28;14;72,90%
2017;0541328A;COLLEGE;ERNEST BICHAT;PUBLIC;54329;LUNEVILLE;54;MEURTHE-ET-MOSELLE;12;NANCY-METZ;6;GRAND EST;141;141;109;24;20;30;35;77,30%
2018;0541328A;COLLEGE;ERNEST BICHAT;PUBLIC;54329;LUNEVILLE;54;MEURTHE-ET-MOSELLE;12;NANCY-METZ;6;GRAND EST;110;108;84;22;24;17;21;77,70%
2019;0541328A;COLLEGE;ERNEST BICHAT;PUBLIC;54329;LUNEVILLE;54;MEURTHE-ET-MOSELLE;12;NANCY-METZ;6;GRAND EST;146;140;115;25;36;27;27;82,10%
2020;0541328A;COLLEGE;ERNEST BICHAT;PUBLIC;54329;LUNEVILLE;54;MEURTHE-ET-MOSELLE;12;NANCY-METZ;6;GRAND EST;138;138;106;19;28;29;30;76,80%
